timestamp,000D6F00036BB04C,000D6F00029C2BD7,000D6F000353AC8C,000D6F0003562E10,000D6F0003562C48,000D6F00029C2984,000D6F000353AE51,000D6F0003562C0F,000D6F0003562BF6
1394610762.47079,2.27473654877291,0,2.17196910482001,NULL,0,16.97853194856,NULL,0,0
1394610763.16615,0,0,0,0,0,19.0853500540529,NULL,0,0
1394610764.15315,2.27473654877291,0,2.17196910482001,0,0,16.97853194856,NULL,0,0
1394610765.18369,0,0,0,0,0,16.97853194856,NULL,0,0
1394610766.50341,0,0,0,NULL,0,16.97853194856,NULL,0,0
1394610767.53957,2.27473654877291,0,2.17196910482001,NULL,0,19.0853500540529,NULL,0,0
1394610768.59656,0,0,0,NULL,0,16.97853194856,NULL,0,0
1394610769.61657,2.27473654877291,0,0,NULL,0,16.97853194856,NULL,0,0
1394610770.67505,0,0,0,NULL,0,16.97853194856,NULL,0,0
1394610771.68844,2.27473654877291,0,2.17196910482001,NULL,0,16.97853194856,NULL,0,0
1394610773.94695,0,0,0,NULL,0,16.97853194856,NULL,0,NULL
1394610775.10096,2.27473654877291,0,0,0,0,16.97853194856,NULL,0,NULL
1394610776.16566,0,0,2.17196910482001,0,0,19.0853500540529,NULL,0,NULL
1394610777.23653,2.27473654877291,0,0,0,0,16.97853194856,NULL,0,NULL
1394610778.32417,0,0,0,0,0,16.97853194856,NULL,0,NULL
1394610779.46094,2.27473654877291,0,0,0,0,16.97853194856,NULL,0,NULL
1394610780.47338,0,0,2.17196910482001,0,0,19.0853500540529,NULL,0,NULL
1394610781.39516,2.27473654877291,0,0,221.279277291941,0,16.97853194856,NULL,0,0
1394610782.20692,0,0,0,835.597035556797,0,16.97853194856,NULL,0,0
