timestamp,000D6F00036BB04C,000D6F00029C2BD7,000D6F000353AC8C,000D6F0003562E10,000D6F0003562C48,000D6F00029C2984,000D6F000353AE51,000D6F0003562C0F,000D6F0003562BF6
1394837703.59116,80.1940738567088,0,0,0,0,NULL,NULL,0,0
1394837704.74918,82.2999046302319,0,0,0,0,NULL,NULL,0,0
1394837705.82257,80.1940738567088,0,0,0,0,0,NULL,0,0
1394837706.58233,80.1940738567088,0,2.17196910482001,0,0,0,0,0,0
1394837707.60043,80.1940738567088,0,0,0,0,0,0,0,0
1394837708.59238,80.1940738567088,0,0,0,0,0,0,0,0
1394837709.56823,80.1940738567088,0,0,0,0,0,0,0,0
1394837710.59012,80.1940738567088,0,2.17196910482001,0,0,0,0,0,0
1394837711.85293,80.1940738567088,0,0,0,0,0,0,0,NULL
1394837712.91493,82.2999046302319,0,0,0,0,0,0,0,NULL
1394837714.0082,80.1940738567088,0,0,0,0,0,0,NULL,NULL
1394837715.02249,80.1940738567088,0,2.17196910482001,NULL,0,0,0,NULL,NULL
1394837716.27514,80.1940738567088,0,0,NULL,0,0,0,NULL,NULL
1394837717.49441,80.1940738567088,0,0,NULL,0,0,0,NULL,NULL
1394837718.71362,80.1940738567088,0,0,NULL,0,0,0,NULL,NULL
1394837719.74873,80.1940738567088,0,0,NULL,0,0,0,NULL,0
1394837720.85735,82.2999046302319,0,0,NULL,0,NULL,NULL,0,0
1394837721.99298,80.1940738567088,0,0,0,0,NULL,NULL,0,0
1394837723.13781,80.1940738567088,0,2.17196910482001,0,0,NULL,NULL,0,0
