timestamp,000D6F0002906FA7,000D6F0002907BA2,000D6F0002907BC8,000D6F0002907BDF,000D6F0002907BF5,000D6F0002907C89,000D6F0002908150,000D6F0002908162,000D6F00029C506A
1386460733.13224,0,0,0,NULL,NULL,0,NULL,155.208542344841,NULL
1386460734.18038,0,0,2.26757519819093,NULL,NULL,0,NULL,155.208542344841,NULL
1386460735.24727,0,0,0,0,NULL,0,NULL,155.208542344841,NULL
1386460736.26043,0,0,0,0,NULL,0,NULL,153.084457135796,NULL
1386460736.81776,2.25032088815913,0,0,0,NULL,2.36645923300298,0,155.208542344841,0
1386460737.84121,0,0,0,0,NULL,0,0,155.208542344841,0
1386460738.82498,0,0,0,0,NULL,0,0,155.208542344841,0
1386460739.82992,0,0,2.26757519819093,0,NULL,0,0,155.208542344841,0
1386460740.82717,0,0,0,0,NULL,0,0,155.208542344841,0
1386460741.82351,0,0,0,0,NULL,0,0,155.208542344841,0
1386460742.83963,0,0,0,0,NULL,0,0,155.208542344841,0
1386460743.82999,0,0,0,0,NULL,0,0,155.208542344841,0
1386460744.8343,0,0,0,0,NULL,0,0,153.084457135796,0
1386460745.83538,0,0,2.26757519819093,0,NULL,0,0,155.208542344841,0
1386460746.83398,0,0,0,0,NULL,0,0,155.208542344841,0
1386460747.83104,0,0,0,0,NULL,0,0,155.208542344841,0
1386460748.83115,0,0,0,0,NULL,0,0,155.208542344841,0
1386460749.84119,0,0,0,0,NULL,2.36645923300298,0,155.208542344841,0
1386460750.84313,0,0,0,0,NULL,0,0,155.208542344841,0
