timestamp,000D6F0002906FA7,000D6F0002907BA2,000D6F0002907BC8,000D6F0002907BDF,000D6F0002907BF5,000D6F0002907C89,000D6F0002908150,000D6F0002908162,000D6F00029C506A
1386632736.96979,0,0,0,0,6.58066531138714,0,0,10.7606475971813,0
1386632737.88969,0,0,0,0,6.58066531138714,0,0,10.7606475971813,0
1386632738.88878,0,0,0,0,6.58066531138714,0,0,10.7606475971813,0
1386632739.89825,0,0,2.26757519819093,0,6.58066531138714,0,0,12.8850298807145,0
1386632740.89095,0,0,0,0,6.58066531138714,0,0,10.7606475971813,0
1386632741.89104,0,0,0,0,6.58066531138714,0,0,12.8850298807145,0
1386632742.89421,0,0,0,0,6.58066531138714,0,0,10.7606475971813,0
1386632743.89711,2.25032088815913,0,0,0,6.58066531138714,0,0,10.7606475971813,0
1386632744.88631,0,0,0,0,6.58066531138714,2.36645923300298,0,12.8850298807145,0
1386632745.8875,0,0,2.26757519819093,0,6.58066531138714,0,0,10.7606475971813,0
1386632746.89539,0,0,0,0,6.58066531138714,0,0,12.8850298807145,0
1386632747.89598,0,0,0,0,6.58066531138714,0,0,10.7606475971813,0
1386632748.89923,0,0,0,0,6.58066531138714,0,0,10.7606475971813,0
1386632749.89642,0,0,0,0,6.58066531138714,0,0,12.8850298807145,0
1386632750.89258,0,0,0,0,6.58066531138714,0,0,10.7606475971813,0
1386632752.36399,0,0,2.26757519819093,NULL,6.58066531138714,0,0,10.7606475971813,0
1386632753.41919,0,0,0,NULL,6.58066531138714,0,0,10.7606475971813,0
1386632754.5275,0,0,0,NULL,6.58066531138714,0,NULL,12.8850298807145,0
1386632755.63634,0,0,0,NULL,4.43812849947612,0,NULL,10.7606475971813,0
